BusinessName,Address,CITY,State,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,Latitude,Longitude,Neighbourhood
By Chloe`,1325 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,6/3/16 11:03,42.34447,-71.09917,Fenway
C Fruit Life,171 Brighton,Boston,MA,2134,Active,FS,Eating & Drinking,6/15/16 10:17,0,0,Allston
C01/B01/Y01,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/27/07 18:55,42.346723,-71.09868,Fenway
C11,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 11:06,0,0,Fenway
C12/B12,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 11:08,0,0,Fenway
C13/B13,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 11:09,0,0,Fenway
C15/B15,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 11:13,0,0,Fenway
C16/B16,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,4/27/07 18:56,0,0,Fenway
CABANA GRILL,254 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,10/3/19 14:51,0,0,East Boston
Cactus Grill,42 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/7/07 12:52,42.37014,-71.03916,East Boston
Cada Dia Nutrition,7 Burroughs,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,10/7/20 13:35,0,0,Jamaica Plain
CAFE @ 1295,1295 Boylston,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,0,0,Fenway
Cafe 1924 @ Mass Financial Services,111 Huntington,Boston,MA,2199,Active,FS,Eating & Drinking,5/17/21 14:35,42.34646,-71.08152,Back Bay
Cafe 24,24 Fenway,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,8/18/14 12:46,42.34589,-71.09007,Back Bay
Cafe 26,26 Temple,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,5/17/12 9:27,42.355396,-71.062051,Downtown
Cafe 472,472 Commonwealth,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,5/3/11 8:28,42.34855,-71.09367,Fenway
Cafe 939,939 Boylston,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,10/4/07 12:25,42.348238,-71.08505,Back Bay
Cafe Amalfi,2 Battery Wharf,Boston,MA,2109,Active,FS,Eating & Drinking,8/22/18 14:25,42.367173,-71.050159,Downtwon
CAFE Artigiano,8 City Hall,Boston,MA,2108,Active,FS,Eating & Drinking,10/25/16 10:07,0,0,Beacon Hill
Cafe Beirut,650 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,3/13/12 10:28,42.31308,-71.1139,Jamaica Plain
Cafe Bonjour,55 Temple,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,8/2/18 11:29,42.354894,-71.061756,Downtown
Cafe De Boston,75 Federal,BOSTON,MA,2110,Active,FS,Eating & Drinking,7/30/10 9:54,0,0,Downtown
Cafe GiGu,102 Meridian,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,9/29/09 9:53,0,0,East Boston
Cafe Juice Up,1290 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,8/13/19 8:02,42.279598,-71.092686,Mattapan
Cafe Landwer,383 Chestnut Hill,Brighton,MA,2467,Active,FS,Eating & Drinking,12/21/17 11:13,0,0,Brighton
Cafe Landwer,900 Beacon,Boston,MA,2215,Active,FS,Eating & Drinking,6/19/17 11:33,42.34679,-71.10573,Fenway
Cafe Madeleine,517 Columbus,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,1/17/14 12:21,42.34222,-71.08014,South End
Cafe Mamtaz,87 L STREET,SOUTH BOSTON,MA,2127,Active,FT,Eating & Drinking w/ Take Out,10/19/09 8:18,0,0,SOUTH BOSTON
Cafe Marliave,10 Bosworth,Boston,MA,2108,Active,FS,Eating & Drinking,3/10/08 12:37,42.356873,-71.06026,Downtown
CAFE MIRROR,362 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,42.348959,-71.153598,Brighton
CAFE NAPOLI,81 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,42.371833,-71.036223,East Boston
CAFE PODIMA,168 Cambridge,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,9/28/17 14:15,0,0,West End
CAFE POLONIA,611 Dorchester,South Boston,MA,2127,Active,FS,Eating & Drinking,12/7/06 13:35,42.328788,-71.057108,South Boston
CAFE PORTO BELLO,672 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,12/7/06 13:34,42.3358,-71.03763,South Boston
Cafe Presto,1 Hotel,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/14/16 13:16,0,0,East Boston
CAFE QUATTRO,60 Springfield,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,10/14/14 9:52,42.33566,-71.07446,Roxbury
Cafe SuSu,240A Newbury,Boston,MA,2116,Active,FS,Eating & Drinking,11/27/17 10:14,42.34946,-71.08224,Back Bay
CAFENATION,378 Washington,Brighton,MA,2135,Active,FS,Eating & Drinking,9/14/20 11:21,42.34898,-71.15424,Brighton
Caffe Bene,333 Massachusetts,Boston,MA,2115,Active,FS,Eating & Drinking,1/28/14 9:07,42.34224,-71.08468,Fenway
Caffe Dello Sport,308 HANOVER,BOSTON,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,North End
Caffe Lil Italy,178 Salem,Boston,MA,2113,Active,FS,Eating & Drinking,1/21/11 12:48,42.36652,-71.05478,Downtown
Caffe Nero,10 Summer,Boston,MA,2110,Active,FS,Eating & Drinking,6/30/16 13:54,0,0,Downtown
Caffe Nero,100 Huntington,Boston,MA,2116,Active,FS,Eating & Drinking,4/25/19 16:44,42.34721,-71.0782,Back Bay
Caffe Nero,1047 Commonwealth,Boston,MA,2134,Active,FS,Eating & Drinking,2/27/17 11:04,42.35238,-71.12258,Allston
Caffe Nero,1375 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,10/10/17 13:41,0,0,Fenway
Caffe Nero,189 Massachusetts,Boston,MA,2115,Active,FS,Eating & Drinking,1/23/18 13:29,42.34531,-71.08717,Back Bay
Caffe Nero,298 Washington,Boston,MA,2135,Active,FS,Eating & Drinking,12/13/17 12:16,0,0,Brighton
Caffe Nero,3 Center,Boston,MA,2108,Active,FS,Eating & Drinking,2/8/18 13:24,0,0,Beacon Hill
Caffe Nero,354 Longwood,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,1/22/15 9:53,0,0,Fenway
Caffe Nero,370 Congress,Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/16/15 11:40,0,0,South Boston
Caffe Nero,416 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,3/22/17 14:17,0,0,South Boston
Caffe Nero,53 Union,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,5/20/15 9:10,42.343564,-71.072012,Back Bay
Caffe Nero,558 Washington,Boston,MA,2111,Active,FS,Eating & Drinking,1/13/14 8:27,0,0,Downtown
Caffe Nero,57 Northern,Boston,MA,2210,Active,FT,Eating & Drinking w/ Take Out,5/22/17 10:18,0,0,South Boston Waterfront
Caffe Nero,725 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,9/29/14 13:55,42.31117,-71.11475,Jamaica Plain
Caffe Nero Americas  Inc.,100 Huntington,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,6/27/19 15:58,42.34721,-71.0782,Back Bay
Caffe Nero- K7,80 Causeway,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,2/13/20 13:07,0,0,West End
CAFFE PARADISO,253 HANOVER,BOSTON,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,North End
Caffe Vittoria,290 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,12/7/06 13:34,42.364098,-71.054401,Downtown
Cajun Cajun,640 Atlantic,Boston,MA,2110,Active,FS,Eating & Drinking,12/7/06 13:34,42.350021,-71.055941,Downtown
CALIFORNIA PIZZA KITCHEN,800 Boylston,Boston,MA,2199,Active,FS,Eating & Drinking,12/7/06 13:34,42.34716,-71.08251,Back Bay
Camden Food Co,300 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/3/15 13:34,0,0,East Boston
Camp Harborview,  Long Island,East Boston,MA,2128,Active,FS,Eating & Drinking,6/27/07 13:16,0,0,East Boston
Canary Square,435 Huntington,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,8/3/10 9:58,42.31979,-71.112,Jamaica Plain
CANTINA ITALIANA,346 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,3/25/19 15:01,0,0,North End
CANTON EATERY,339 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/8/13 11:02,0,0,East Boston
CANTON HOUSE,6 Hancock,Dorchester,MA,2125,Active,FT,Eating & Drinking w/ Take Out,2/25/20 15:46,42.315595,-71.065919,Dorchester
Cape Verde Taste,481 Geneva,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,3/26/21 8:06,42.299318,-71.064788,Dorchester
Capital Burger #3202,159 Newbury,Boston,MA,2116,Active,FS,Eating & Drinking,1/21/20 12:20,42.35087,-71.07863,Back Bay
CAPITAL GRILLE,880 Boylston,Boston,MA,2199,Active,FS,Eating & Drinking,12/21/10 8:45,42.34753,-71.08411,Back Bay
Capital One Cafe,55 Seaport,Boston,MA,2210,Active,FS,Eating & Drinking,8/2/16 11:21,0,0,South Boston Waterfront
CAPITOL COFFEE HOUSE,122 Bowdoin,Boston,MA,2108,Active,FS,Eating & Drinking,12/7/06 13:34,42.358885,-71.062751,Downtown
CAPO RESTAURANT,443 Broadway,South Boston,MA,2127,Active,FS,Eating & Drinking,7/7/15 12:24,42.336076,-71.047019,South Boston
CAPPY'S PIZZA,304 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,11/18/20 9:32,42.32271,-71.10341,Jamaica Plain
CAPPY'S PIZZA,672 TRUMAN ,HYDE PARK,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,0,0,HYDE PARK
CAPPY'S PIZZA & SUBS,82 Westland,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.343727,-71.089581,Back Bay
CAPTAIN NEMO'S,367 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.322472,-71.108578,Jamaica Plain
Caramelo Bakery Cafe,375 Blue Hill,Dorchester,MA,2121,Active,FT,Eating & Drinking w/ Take Out,5/14/18 11:58,42.31178,-71.08106,Dorchester
Caribbean Flavors,1210 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,11/1/19 13:32,42.282979,-71.091349,Mattapan
Caribe Restaurant,559 Washington,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,42.292205,-71.071965,Dorchester
CARLOS CUCINA ITALIANA,131 Brighton,Allston,MA,2134,Active,FS,Eating & Drinking,5/13/19 15:51,42.353088,-71.131159,Allston
Carmelina's North End,307 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,3/27/08 9:26,42.36388,-71.05416,Downtown
CARNEY HOSPITAL,2100 Dorchester,Dorchester,MA,2124,Active,FS,Eating & Drinking,11/24/10 10:47,42.278028,-71.066046,Dorchester
CAROL ANN BAKE SHOP,200 Faneuil Hall Market,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,3/26/07 14:28,0,0,Downtown
Carrie Nation,11 Beacon,Boston,MA,2108,Active,FS,Eating & Drinking,12/10/12 14:29,42.35838,-71.06178,Downtown
Carrot Flower,703 Centre,Boston,MA,2130,Active,FS,Eating & Drinking,1/26/18 10:02,0,0,Jamaica Plain
CARTER FULLER MENTAL HOSPITAL,85 Newton,Roxbury,MA,2118,Active,FS,Eating & Drinking,7/6/15 9:33,42.336387,-71.070969,Roxbury
CARVER DEN,80 TALBOT ,DORCHESTER,MA,2124,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,DORCHESTER
Casa Cana,1234 Soldiers Field,Brighton,MA,2134,Active,FS,Eating & Drinking,3/30/18 12:21,42.3637,-71.13638,Allston
Casa Razbora,115 Water,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/10/10 15:08,42.35805,-71.05461,Downtown
Casa Razdora,176 Federal,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,4/8/19 10:36,42.353508,-71.055899,Downtown
Casa Real Mexican Food,856 Dorchester,DORCHESTER,MA,2125,Active,FT,Eating & Drinking w/ Take Out,3/31/08 14:43,0,0,DORCHESTER
CASA ROMERO,30 Gloucester,Boston,MA,2115,Active,FS,Eating & Drinking,3/20/07 8:44,42.349444,-71.084498,Back Bay
Casa Verde,711 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,9/17/15 15:26,42.311378,-71.114669,Jamaica Plain
Casabe Kitchen,633 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,5/9/19 15:50,42.313746,-71.114645,Jamaica Plain
Casarecce Cucina Italiana,285 Hanover,Boston,MA,2113,Active,FS,Eating & Drinking,12/8/17 10:08,0,0,North End
Cask N Flagon,48 BROOKLINE ,BOSTON,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:33,0,0,Fenway
Catering,4 Jersey,Boston,MA,2215,Active,FS,Eating & Drinking,12/7/06 13:35,42.346723,-71.09868,Fenway
Cathedral Station,1222 Washington,Roxbury,MA,2118,Active,FS,Eating & Drinking,10/20/14 13:37,42.342794,-71.066726,South End
Cava,1350 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,8/3/17 14:36,42.34381,-71.09952,Fenway
Cava,669 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,1/12/18 10:17,0,0,Back Bay
CAVAN CAFE,1406 Hyde Park,Hyde Park,MA,2136,Active,FS,Eating & Drinking,12/7/06 13:35,42.250633,-71.125728,Hyde Park
Center Stage @ Emerson,116 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,7/22/19 11:29,42.352228,-71.065638,Downtown
CENTERFOLDS,12 Lagrange,Boston,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:35,0,0,Back Bay
Centerplate @ ORPHEUM THEATRE,1 Hamilton,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.356225,-71.060994,Downtown
Central Wharf Co.,160 Milk,Boston,MA,2109,Active,FS,Eating & Drinking,12/7/06 13:34,42.358689,-71.052756,Downtown
CGK Newbury,266 Newbury,Boston,MA,2116,Active,FS,Eating & Drinking,12/17/19 14:00,42.34918,-71.08319,Back Bay
Cha Feo,248 Newbury,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,8/11/20 11:09,0,0,Back Bay
Cha Kung Fong,1 Nassau,Boston,MA,2111,Active,FS,Eating & Drinking,9/4/19 13:27,42.348583,-71.062975,Chinatown
Chacarero,93 Arch,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,9/21/07 11:10,42.355042,-71.059128,Downtown
CHACHO'S PIZZA,1502 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.332099,-71.099309,Mission Hill
CHARLESMARK HOTEL,655 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:36,42.35004,-71.07857,Back Bay
Charlestown Recovery House,15 Bunker Hill,Charlestown,MA,2129,Active,FS,Eating & Drinking,8/9/17 7:53,42.379569,-71.063977,Charlestown
Charlestown Tea & Treats,65 Main,Charlestown,MA,2129,Active,FT,Eating & Drinking w/ Take Out,4/4/18 10:19,42.373635,-71.062369,Charlestown
Charley's Philly Steak,417 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,9/4/13 13:51,42.35582,-71.0604,Downtown
Charley's Philly Steaks,350 Longwood,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,5/6/15 13:50,42.339072,-71.108098,Fenway
CHARLIE'S HOUSE OF PIZZA,1740 Dorchester,Dorchester,MA,2124,Active,FS,Eating & Drinking,9/5/19 14:55,42.2907,-71.06272,Dorchester
Charlie's Pizza & Cafe,177 Allston,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.347732,-71.138289,Allston
Charlies Sandwich Shoppe,429 Columbus,Boston,MA,2116,Active,FS,Eating & Drinking,7/20/17 11:10,42.34413,-71.07777,Back Bay
CHART HOUSE,60 Long,Boston,MA,2110,Active,FS,Eating & Drinking,12/7/06 13:35,42.360178,-71.049411,Downtown
CHARTWELLS @ SNELL LIBRARY,376 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,12/7/06 13:35,42.338435,-71.087998,Roxbury
Chartwells Churchill Cafe,380 Huntington,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,9/9/20 14:44,42.33879,-71.088872,Roxbury
Chatime,331 Huntington,Boston,MA,2115,Active,FS,Eating & Drinking,5/21/14 14:41,42.340892,-71.088382,Fenway
CHAU CHOW,699 WM T MORRISSEY ,DORCHESTER,MA,2122,Active,FS,Eating & Drinking,12/7/06 13:36,0,0,DORCHESTER
CHECKMATE CAFE,900 South,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/29/15 9:44,0,0,Roslindale
CHEQUERS,72 Concord,Roxbury,MA,2118,Active,FS,Eating & Drinking,12/7/06 13:34,42.336202,-71.072487,Roxbury
Chequers Coffee Express,72 Concord,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,6/29/11 11:44,42.336202,-71.072487,Roxbury
Chestnut Park @Cleveland Circle,50 Sutherland,Brighton,MA,2135,Active,FS,Eating & Drinking,3/4/20 9:35,42.33799,-71.14993,Brighton
CHEZ-VOUS SKATING RINK,11 Rhoades,Dorchester,MA,2124,Active,FS,Eating & Drinking,12/7/06 13:34,42.28536,-71.09219,Dorchester
Chickadee,21 Dry Dock,Boston,MA,2210,Active,FS,Eating & Drinking,11/2/17 10:02,42.344254,-71.030938,South Boston Waterfront
Chicken and Rice Guys,280 Washington,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,6/23/16 11:23,0,0,Beacon Hill
Chicken and Rice Guys,85 Bedford,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2/24/15 11:41,42.353107,-71.05868,Downtown
Chilacates,1482 Tremont,Mission Hill,MA,2120,Active,FS,Eating & Drinking,4/4/18 10:13,0,0,Mission Hill
Chilacates,222 Amory,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,7/2/15 10:08,42.316388,-71.103161,Jamaica Plain
Chilacates,275A Shawmut,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/4/18 7:50,0,0,Roxbury
Chilacates,4257 Washington,Boston,MA,2131,Active,FT,Eating & Drinking w/ Take Out,7/15/20 14:53,0,0,Roslindale
Chilacates,658 Centre,Jamaica Plain,MA,2130,Active,FS,Eating & Drinking,2/16/17 15:42,42.312748,-71.113869,Jamaica Plain
CHILDRENS HOSPITAL MAIN CAF,300 LONGWOOD ,BOSTON,MA,2115,Active,FS,Eating & Drinking,12/7/06 13:34,0,0,Fenway
Chili Bento,1 Brighton,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,10/16/19 15:22,42.352411,-71.125329,Allston
Chill On Park,142 Park,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/18/14 10:27,0,0,Dorchester
Chilton Club,150 Commonwealth,Boston,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:33,42.351524,-71.077811,Back Bay
CHINA GOURMET RESTAURANT,23 Tyler,Boston,MA,2111,Active,FS,Eating & Drinking,12/7/06 13:35,42.350769,-71.060935,Chinatown
CHINA HOUSE,331 Hanover,Boston,MA,2113,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.3642,-71.05382,Downtown
CHINA MAXIM III,241 Market,Brighton,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,42.35463,-71.150488,Brighton
China Pearl Restaurant,9 Tyler,Boston,MA,2111,Active,FS,Eating & Drinking,12/7/06 13:34,42.351085,-71.060788,Chinatown
China Sea,1194 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,10/14/20 13:18,42.28358,-71.09136,Mattapan
China Sky Restaurant,782 Adams,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:33,42.283093,-71.055609,Dorchester
China Station Restaurant,530 Washington,Dorchester,MA,2124,Active,FT,Eating & Drinking w/ Take Out,3/28/12 10:02,42.29298,-71.07162,Dorchester
Chinatown Cafe,262 Harrison,Boston,MA,2111,Active,FS,Eating & Drinking,4/22/10 8:09,42.347469,-71.06253,South End
FAJITAS & RITAS INC.,25 West,Boston,MA,2111,Active,FS,Eating & Drinking,12/7/06 13:34,42.35485,-71.06237,Downtown
CHINATOWN EXPRESS,79 River,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,8/15/19 8:45,42.271418,-71.073999,Mattapan
CHINESE DRAGON,380 Chelsea,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.379336,-71.02807,East Boston
Chipotle Mexican Grill,144 Brookline,Boston,MA,2115,Active,FS,Eating & Drinking,6/4/08 15:22,0,0,Fenway
Chipotle Mexican Grill,1924 Beacon,Brighton,MA,2135,Active,FS,Eating & Drinking,7/10/07 11:27,42.336455,-71.149569,Brighton
Chipotle Mexican Grill,21 District,Dorchester,MA,2125,Active,FS,Eating & Drinking,6/30/17 11:28,0,0,Dorchester
Chipotle Mexican Grill,553 Boylston,Boston,MA,2116,Active,FS,Eating & Drinking,6/12/14 8:50,0,0,Back Bay
Chipotle Mexican Grill,8 Park,Boston,MA,2116,Active,FS,Eating & Drinking,1/5/16 12:28,42.351362,-71.06874,Downtown
Chipotle Mexican Grill,99 Seaport,Boston,MA,2210,Active,FS,Eating & Drinking,4/29/16 10:59,0,0,South Boston Waterfront
Chipotle Mexican Grill #1520,101 Summer,Boston,MA,2110,Active,FS,Eating & Drinking,6/10/10 11:18,42.35362,-71.05824,Downtown
Chipotle Mexican Grille,283 Washington,Boston,MA,2108,Active,FS,Eating & Drinking,5/17/11 9:01,42.357563,-71.058423,Downtown
Choat Hall & Stewart,150 Oliver,Boston,MA,2110,Active,FS,Eating & Drinking,7/5/11 9:41,42.355634,-71.05221,Downtown
Chopped & Topped 3rd Fl.,800 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,9/21/09 10:21,42.349591,-71.063586,Chinatown
Christos Pizzeria,1761 Centre,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,9/25/20 12:30,42.28751,-71.150689,West Roxbury
CHUNG WAH,199 Bowdoin,Dorchester,MA,2122,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,42.30509,-71.06819,Dorchester
Churrascaria Vulcao,197 Adams,Dorchester,MA,2122,Active,FS,Eating & Drinking,9/12/16 10:32,42.301927,-71.060226,Dorchester
Chutney's,350 Longwood,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,11/21/11 14:25,42.339072,-71.108098,Fenway
CIAO,2 SEAPORT,BOSTON,MA,2210,Active,FS,Eating & Drinking,12/7/06 13:35,0,0,South Boston Waterfront
Ciao Roma,5 North,Boston,MA,2113,Active,FS,Eating & Drinking,4/19/17 9:56,0,0,North End
Cinis,252 Friend,Boston,MA,2114,Active,FT,Eating & Drinking w/ Take Out,10/8/19 15:44,42.364494,-71.061192,Downtown
Citizen Public House & Oyster Bar,1310 Boylston,Boston,MA,2215,Active,FS,Eating & Drinking,7/16/10 11:03,42.344213,-71.097954,Fenway
CitizenM Hotel,50 Causeway,Boston,MA,2114,Active,FS,Eating & Drinking,5/22/19 14:35,42.365678,-71.061705,Downtown
Citra A Fresh Cafe,221 Longwood,Boston,MA,2115,Active,FT,Eating & Drinking w/ Take Out,7/10/12 9:38,42.33724,-71.10217,Fenway
Citrus & Salt,142 Berkeley,Boston,MA,2116,Active,FS,Eating & Drinking,8/7/13 11:59,42.348822,-71.072098,Back Bay
City Bar/M. J. O'Connor's,425 Summer,Boston,MA,2210,Active,FS,Eating & Drinking,6/26/08 13:04,0,0,South Boston Waterfront
City Tap House,374 Congress,Boston,MA,2210,Active,FS,Eating & Drinking,1/25/16 10:47,42.34993,-71.04741,South Boston Waterfront
City Winery,1 Canal,Boston,MA,2114,Active,FS,Eating & Drinking,11/30/16 11:25,0,0,West End
Cityside,1958 BEACON,BRIGHTON,MA,2135,Active,FS,Eating & Drinking,1/8/09 11:08,0,0,BRIGHTON
CLARKE'S,21 Merchants,Boston,MA,2109,Active,FS,Eating & Drinking,12/7/06 13:34,42.359461,-71.05548,Downtown
Classic Harbor Lines,60 Rowes,Boston,MA,2110,Active,FS,Eating & Drinking,9/20/17 11:58,42.356532,-71.050251,Downtown
Clay Pot Cafe,74 Kneeland,Boston,MA,2111,Active,FS,Eating & Drinking,6/20/13 13:15,42.350475,-71.060383,Chinatown
CLERY'S,331 Columbus,Boston,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:34,42.346117,-71.075191,Back Bay
Clock Tavern,342 BROADWAY,SOUTH BOSTON,MA,2127,Active,FS,Eating & Drinking,12/7/06 13:33,0,0,SOUTH BOSTON
Clover,160 Federal,Boston,MA,2110,Active,FS,Eating & Drinking,11/13/15 14:02,42.354049,-71.055925,Downtown
Clover,27 School,Boston,MA,2108,Active,FS,Eating & Drinking,10/13/15 13:52,42.357719,-71.05907,Downtown
Clover,360 Longwood,Boston,MA,2215,Active,FS,Eating & Drinking,12/18/15 12:38,0,0,Fenway
Clover Food Lab,565 Boylston,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,8/2/19 13:46,42.350654,-71.076368,Back Bay
Club Cafe,209 Columbus,Boston,MA,2116,Active,FS,Eating & Drinking,12/7/06 13:33,42.348549,-71.07237,Back Bay
CLUB HOTEL BAR,240 Mount Vernon,Dorchester,MA,2125,Active,FS,Eating & Drinking,12/7/06 13:35,42.319024,-71.045007,Dorchester
CO3/BO3/YO3,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 10:36,0,0,Fenway
CO5/BO5,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 10:38,0,0,Fenway
CO6/BO6,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 10:42,0,0,Fenway
CO7,4 Jersey,Boston,MA,2215,Active,FT,Eating & Drinking w/ Take Out,11/16/08 10:44,0,0,Fenway
Coco Leaf,1480 Dorchester,Dorchester,MA,2122,Active,FS,Eating & Drinking,7/6/16 12:34,42.30008,-71.05995,Dorchester
Coco Leaf,303 Newbury,Boston,MA,2115,Active,FS,Eating & Drinking,5/15/19 12:20,42.34898,-71.08552,Back Bay
Cocobeet,100 City Hall,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,2/4/20 11:45,42.359529,-71.05875,Downtown
Code 10 Restaurant Cafe,2 Concord,Roxbury,MA,2118,Active,FS,Eating & Drinking,1/13/14 8:15,42.33791,-71.07465,Roxbury
Coffee Break Cafe,680 Truman,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,11/6/18 12:36,0,0,Hyde Park
