"","INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location","Neighbourhood"
"37983","I152066815",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A7",942,"","8/12/15 21:30",2015,8,"Wednesday",21,"Part Two","WALDEMAR AVE",42.39327289,-71.00793914,"(42.39327289, -71.00793914)","#N/A"
"34963","I152070167",3207,"Property Found","PROPERTY - FOUND","C11",392,"","8/24/15 14:09",2015,8,"Monday",14,"Part Three","ELMER RD",42.28637008,-71.05869045,"(42.28637008, -71.05869045)","Dorchester"
"11608","I152095720",3125,"Warrant Arrests","WARRANT ARREST","A15",60,"","11/18/15 11:18",2015,11,"Wednesday",11,"Part Three","RUTHERFORD AVE",42.37270654,-71.06412658,"(42.37270654, -71.06412658)","Charlestown"
"42632","I152061747",522,"Residential Burglary","BURGLARY - RESIDENTIAL - NO FORCE","C11",342,"","7/26/15 11:02",2015,7,"Sunday",11,"Part One","GENEVA AVE",42.30135087,-71.06796465,"(42.30135087, -71.06796465)","Dorchester"
"48858","I152054746",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","C11",349,"","7/2/15 19:00",2015,7,"Thursday",19,"Part Three","ADAMS ST",42.30385443,-71.06087585,"(42.30385443, -71.06087585)","Dorchester"
"25641","I152080352",1106,"Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","B2",315,"","9/1/15 9:00",2015,9,"Tuesday",9,"Part Two","WABENO ST",42.31511309,-71.08674186,"(42.31511309, -71.08674186)","Roxbury"
"40816","I152063755",616,"Larceny","LARCENY THEFT OF BICYCLE","D14",776,"","8/1/15 10:30",2015,8,"Saturday",10,"Part One","WALLINGFORD RD",42.34134946,-71.15122795,"(42.34134946, -71.15122795)","Brighton"
"16151","I152090639",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","A7",3,"","11/1/15 1:30",2015,11,"Sunday",1,"Part One","LEVERETT AVE",42.38971778,-70.99677821,"(42.38971778, -70.99677821)","#N/A"
"2970","I152105261",3301,"Verbal Disputes","VERBAL DISPUTE","D4",156,"","12/21/15 16:29",2015,12,"Monday",16,"Part Three","MASSACHUSETTS AVE",42.33828866,-71.07908476,"(42.33828866, -71.07908476)","Roxbury"
"47296","I152056496",3207,"Property Found","PROPERTY - FOUND","B2",NA,"","7/8/15 18:58",2015,7,"Wednesday",18,"Part Three","",NA,NA,"(0.00000000, 0.00000000)","0"
"34503","I152070673",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D14",776,"","8/25/15 11:00",2015,8,"Tuesday",11,"Part Three","CHESTNUT HILL AVE",42.34527064,-71.15298859,"(42.34527064, -71.15298859)","Brighton"
"5247","I152102749",3803,"Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","D4",NA,"","12/13/15 0:43",2015,12,"Sunday",0,"Part Three","",NA,NA,"(0.00000000, 0.00000000)","0"
"23979","I152082125",1402,"Vandalism","VANDALISM","C11",357,"","10/3/15 1:45",2015,10,"Saturday",1,"Part Two","BLOOMFIELD ST",42.29910777,-71.06829572,"(42.29910777, -71.06829572)","Dorchester"
"15588","I152091262",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","E18",516,"","11/3/15 15:18",2015,11,"Tuesday",15,"Part One","MOUNT PLEASANT ST",42.24894107,-71.11634898,"(42.24894107, -71.11634898)","Hyde Park"
"20308","I152086092",1830,"Drug Violation","DRUGS - SICK ASSIST - HEROIN","A15",50,"","10/16/15 17:01",2015,10,"Friday",17,"Part Two","CAMBRIDGE ST",42.38222195,-71.08031197,"(42.38222195, -71.08031197)","Charlestown"
"16444","I152090321",2647,"Other","THREATS TO DO BODILY HARM","B3",417,"","10/31/15 14:29",2015,10,"Saturday",14,"Part Two","FULLER ST",42.28154388,-71.07350542,"(42.28154388, -71.07350542)","Dorchester"
"24256","I152081822",1844,"Drug Violation","DRUGS - POSS CLASS C","A1",61,"","10/2/15 8:36",2015,10,"Friday",8,"Part Two","CAUSEWAY ST",42.364881,-71.062387,"(42.36488100, -71.06238700)","Downtown"
"37225","I152067621",613,"Larceny","LARCENY SHOPLIFTING","D4",146,"","8/15/15 16:58",2015,8,"Saturday",16,"Part One","HUNTINGTON AVE",42.3473098,-71.07915167,"(42.34730980, -71.07915167)","Back Bay"
"10728","I152096653",3001,"Medical Assistance","DEATH INVESTIGATION","C11",361,"","11/21/15 8:03",2015,11,"Saturday",8,"Part Three","MELVILLE AVE",42.29515455,-71.06489293,"(42.29515455, -71.06489293)","Dorchester"
"41019","I152063530",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","B2",566,"","7/31/15 10:00",2015,7,"Friday",10,"Part One","ELM HILL AVE",42.30762267,-71.08903351,"(42.30762267, -71.08903351)","Roxbury"
"11857","I152095444",724,"Auto Theft","AUTO THEFT","E5",714,"","11/21/15 11:00",2015,11,"Saturday",11,"Part One","WASHINGTON ST",42.25794926,-71.1612288,"(42.25794926, -71.16122880)","West Roxbury"
"52997","I152049902",2610,"Other","TRESPASSING","D4",146,"","6/16/15 13:48",2015,6,"Tuesday",13,"Part Two","HUNTINGTON AVE",42.3473098,-71.07915167,"(42.34730980, -71.07915167)","Back Bay"
"10865","I152096503",3115,"Investigate Person","INVESTIGATE PERSON","B2",298,"","11/20/15 22:38",2015,11,"Friday",22,"Part Three","ROCKLAND ST",42.32281352,-71.08685352,"(42.32281352, -71.08685352)","Roxbury"
"25944","I152080015",2647,"Other","THREATS TO DO BODILY HARM","C11",362,"","9/25/15 18:38",2015,9,"Friday",18,"Part Two","WASHINGTON ST",42.29131613,-71.07170293,"(42.29131613, -71.07170293)","Dorchester"
"50453","I152052957",1106,"Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","C11",345,"","6/26/15 17:59",2015,6,"Friday",17,"Part Two","RIDGEWOOD ST",42.30209443,-71.06575183,"(42.30209443, -71.06575183)","Dorchester"
"41301","I152063218",3115,"Investigate Person","INVESTIGATE PERSON","C11",398,"","7/31/15 13:28",2015,7,"Friday",13,"Part Three","WASHINGTON ST",42.28831955,-71.07112311,"(42.28831955, -71.07112311)","Dorchester"
"23947","I152082160",3112,"Landlord/Tenant Disputes","LANDLORD - TENANT SERVICE","B2",265,"","10/3/15 7:06",2015,10,"Saturday",7,"Part Three","WAVERLY ST",42.32037671,-71.07903447,"(42.32037671, -71.07903447)","Dorchester"
"40663","I152063933",3114,"Investigate Property","INVESTIGATE PROPERTY","E13",639,"","8/3/15 0:55",2015,8,"Monday",0,"Part Three","ENFIELD ST",42.31594228,-71.11014262,"(42.31594228, -71.11014262)","Jamaica Plain"
"26711","I152079194",3301,"Verbal Disputes","VERBAL DISPUTE","B2",311,"","9/23/15 11:14",2015,9,"Wednesday",11,"Part Three","MAYWOOD ST",42.31785924,-71.0810356,"(42.31785924, -71.08103560)","Dorchester"
"18582","I152087987",540,"Commercial Burglary","BURGLARY - COMMERICAL - FORCE","A1",113,"","10/23/15 2:52",2015,10,"Friday",2,"Part One","KINGSTON ST",42.35370585,-71.05898587,"(42.35370585, -71.05898587)","Downtown"
"46415","I152057549",311,"Robbery","ROBBERY - COMMERCIAL","C11",332,"","7/12/15 14:23",2015,7,"Sunday",14,"Part One","HANCOCK ST",42.31319382,-71.06500833,"(42.31319382, -71.06500833)","Dorchester"
"4193","I152103950",617,"Larceny","LARCENY THEFT FROM BUILDING","A1",93,"","12/13/15 20:00",2015,12,"Sunday",20,"Part One","FANEUIL HALL SQ",42.36020464,-71.05620816,"(42.36020464, -71.05620816)","Downtown"
"51446","I152051827",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","B3",481,"","6/23/15 2:06",2015,6,"Tuesday",2,"Part One","RIVER ST",42.26681254,-71.09566961,"(42.26681254, -71.09566961)","Mattapan"
"52905","I152050014",3503,"Missing Person Located","MISSING PERSON - NOT REPORTED - LOCATED","D14",795,"","6/16/15 18:26",2015,6,"Tuesday",18,"Part Three","COMMONWEALTH AVE",42.34900739,-71.13860108,"(42.34900739, -71.13860108)","Allston"
"4427","I152103688",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A7",2,"","12/16/15 10:22",2015,12,"Wednesday",10,"Part Two","BEACHVIEW RD",42.39109683,-71.00393957,"(42.39109683, -71.00393957)","East Boston"
"26921","I152078966",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","E5",680,"","9/22/15 15:16",2015,9,"Tuesday",15,"Part Three","CORINTH ST",42.28593201,-71.12933705,"(42.28593201, -71.12933705)","Roslindale"
"24848","I152081186",619,"Larceny","LARCENY ALL OTHERS","D14",758,"","9/29/15 16:00",2015,9,"Tuesday",16,"Part One","WASHINGTON ST",42.35042609,-71.16637332,"(42.35042609, -71.16637332)","Brighton"
"37389","I152067438",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A1",120,"","8/15/15 1:00",2015,8,"Saturday",1,"Part Two","PARK PLZ",42.35143483,-71.06969334,"(42.35143483, -71.06969334)","Downtown"
"854","I152107632",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","B3",449,"","12/31/15 0:54",2015,12,"Thursday",0,"Part Two","MILLET ST",42.29210002,-71.07634761,"(42.29210002, -71.07634761)","Dorchester"
"3831","I152104344",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",359,"","12/18/15 12:38",2015,12,"Friday",12,"Part Two","WASHINGTON ST",42.29360585,-71.0718865,"(42.29360585, -71.07188650)","Dorchester"
"25288","I152080728",613,"Larceny","LARCENY SHOPLIFTING","A1",94,"","9/25/15 20:00",2015,9,"Friday",20,"Part One","STATE ST",42.35942556,-71.05288819,"(42.35942556, -71.05288819)","Downtown"
"9098","I152098446",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11",335,"","11/28/15 12:10",2015,11,"Saturday",12,"Part Three","BOWDOIN ST",42.30648026,-71.06675783,"(42.30648026, -71.06675783)","Dorchester"
"20517","I152085881",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",142,"","10/15/15 22:30",2015,10,"Thursday",22,"Part One","HEREFORD ST",42.34875218,-71.08564343,"(42.34875218, -71.08564343)","Back Bay"
"12366","I152094883",1402,"Vandalism","VANDALISM","B3",943,"","11/13/15 7:00",2015,11,"Friday",7,"Part Two","WOODGATE ST",42.2762545,-71.07957804,"(42.27625450, -71.07957804)","Mattapan"
"37625","I152067181",619,"Larceny","LARCENY ALL OTHERS","B2",288,"","7/31/15 10:36",2015,7,"Friday",10,"Part One","MALCOLM X BLVD",42.32995896,-71.08694241,"(42.32995896, -71.08694241)","Roxbury"
"28509","I152077232",3502,"Missing Person Located","MISSING PERSON - LOCATED","C11",393,"","9/16/15 7:30",2015,9,"Wednesday",7,"Part Three","DRACUT ST",42.28741838,-71.0619078,"(42.28741838, -71.06190780)","Dorchester"
"30463","I152075112",520,"Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","C11",364,"","9/9/15 15:00",2015,9,"Wednesday",15,"Part One","CENTRE ST",42.29487474,-71.05742148,"(42.29487474, -71.05742148)","Dorchester"
"48339","I152055311",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","B2",322,"Y","7/4/15 22:47",2015,7,"Saturday",22,"Part One","GLENBURNE ST",42.31512218,-71.0825202,"(42.31512218, -71.08252020)","Dorchester"
"44780","I152059325",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",352,"","7/18/15 8:59",2015,7,"Saturday",8,"Part Two","CHARLES ST",42.29990887,-71.06424768,"(42.29990887, -71.06424768)","Dorchester"
"26380","I152079540",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C6",234,"","9/24/15 12:36",2015,9,"Thursday",12,"Part Two","DEADY'S LN",42.33016775,-71.03784272,"(42.33016775, -71.03784272)","South Boston"
"12426","I152094809",3207,"Property Found","PROPERTY - FOUND","D4",624,"","11/15/15 3:27",2015,11,"Sunday",3,"Part Three","LANSDOWNE ST",42.34717363,-71.0964439,"(42.34717363, -71.09644390)","Fenway"
"7868","I152099838",3410,"Towed","TOWED MOTOR VEHICLE","D4",905,"","12/3/15 12:19",2015,12,"Thursday",12,"Part Three","MONSIGNOR REYNOLDS WAY",42.34034975,-71.06954478,"(42.34034975, -71.06954478)","Roxbury"
"35421","I152069647",3301,"Verbal Disputes","VERBAL DISPUTE","B2",328,"","8/22/15 14:26",2015,8,"Saturday",14,"Part Three","LAWRENCE AVE",42.31116054,-71.07548091,"(42.31116054, -71.07548091)","Dorchester"
"51116","I152052213",3125,"Warrant Arrests","WARRANT ARREST","C11",332,"","6/24/15 11:48",2015,6,"Wednesday",11,"Part Three","GLEN ST",42.31282319,-71.06746355,"(42.31282319, -71.06746355)","Dorchester"
"47741","I152055980",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E13",641,"","7/7/15 9:56",2015,7,"Tuesday",9,"Part Three","CENTRE ST",42.31674811,-71.11356249,"(42.31674811, -71.11356249)","Jamaica Plain"
"28866","I152076840",3006,"Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E18",515,"","9/15/15 19:05",2015,9,"Tuesday",19,"Part Three","ROBBART LN",42.24635332,-71.1136693,"(42.24635332, -71.11366930)","Hyde Park"
"1158","I152107296",1402,"Vandalism","VANDALISM","D4",620,"","12/29/15 16:26",2015,12,"Tuesday",16,"Part Two","BURBANK ST",42.34447409,-71.08889326,"(42.34447409, -71.08889326)","Back Bay"
"31322","I152074194",2101,"Operating Under the Influence","OPERATING UNDER THE INFLUENCE ALCOHOL","D4",139,"","9/6/15 23:21",2015,9,"Sunday",23,"Part Two","BEACON ST",42.35084188,-71.08948944,"(42.35084188, -71.08948944)","Back Bay"
"29049","I152076652",2647,"Other","THREATS TO DO BODILY HARM","E18",940,"","9/15/15 10:11",2015,9,"Tuesday",10,"Part Two","GARFIELD AVE",42.24361883,-71.11989255,"(42.24361883, -71.11989255)","Hyde Park"
"44106","I152060086",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","A1",92,"","7/20/15 18:30",2015,7,"Monday",18,"Part Two","COURT ST",42.35892279,-71.05835354,"(42.35892279, -71.05835354)","Downtown"
"48374","I152055269",1842,"Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","B2",265,"","7/4/15 19:47",2015,7,"Saturday",19,"Part Two","MORELAND ST",42.32324433,-71.07752376,"(42.32324433, -71.07752376)","Dorchester"
"42434","I152061999",3114,"Investigate Property","INVESTIGATE PROPERTY","D4",166,"","7/27/15 9:00",2015,7,"Monday",9,"Part Three","UNION PARK ST",42.34174227,-71.07011004,"(42.34174227, -71.07011004)","South End"
"50189","I152053222",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C6",226,"","6/26/15 17:30",2015,6,"Friday",17,"Part One","E FOURTH ST",42.3347387,-71.03732137,"(42.33473870, -71.03732137)","South Boston"
"6239","I152101675",2610,"Other","TRESPASSING","B2",909,"","12/9/15 12:09",2015,12,"Wednesday",12,"Part Two","CABOT ST",42.333382,-71.08745421,"(42.33338200, -71.08745421)","Roxbury"
"12614","I152094600",521,"Residential Burglary","BURGLARY - RESIDENTIAL - ATTEMPT","B3",437,"","11/14/15 12:51",2015,11,"Saturday",12,"Part One","NORFOLK ST",42.28915232,-71.07346,"(42.28915232, -71.07346000)","Dorchester"
"32414","I152072992",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D14",811,"","9/2/15 17:47",2015,9,"Wednesday",17,"Part Three","WESTERN AVE",42.3633571,-71.13409414,"(42.36335710, -71.13409414)","Allston"
"18217","I152088379",1402,"Vandalism","VANDALISM","E18",555,"","10/22/15 0:00",2015,10,"Thursday",0,"Part Two","POPLAR ST",42.2778317,-71.12420166,"(42.27783170, -71.12420166)","Roslindale"
"46313","I152057660",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","C11",NA,"","7/12/15 22:09",2015,7,"Sunday",22,"Part Two","",NA,NA,"(0.00000000, 0.00000000)","0"
"5932","I152102016",3115,"Investigate Person","INVESTIGATE PERSON","B2",291,"","12/10/15 13:48",2015,12,"Thursday",13,"Part Three","LINWOOD ST",42.32831844,-71.09454023,"(42.32831844, -71.09454023)","Roxbury"
"40322","I152064291",2662,"Ballistics","BALLISTICS EVIDENCE/FOUND","B2",329,"","8/4/15 10:10",2015,8,"Tuesday",10,"Part Two","BLUE HILL AVE",42.30938437,-71.08262277,"(42.30938437, -71.08262277)","Dorchester"
"25788","I152080188",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","C6",201,"","9/26/15 1:31",2015,9,"Saturday",1,"Part One","ATHENS ST",42.34070297,-71.05267418,"(42.34070297, -71.05267418)","South Boston"
"36684","I152068248",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","B2",NA,"","8/17/15 23:01",2015,8,"Monday",23,"Part Two","MARTIN LUTHER KING JR BLV",NA,NA,"(0.00000000, 0.00000000)","0"
"40859","I152063709",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","C11",336,"","8/2/15 2:43",2015,8,"Sunday",2,"Part Two","COLUMBIA RD",42.31007897,-71.07228855,"(42.31007897, -71.07228855)","Dorchester"
"31410","I152074090",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","B2",288,"","9/6/15 16:28",2015,9,"Sunday",16,"Part Three","ROXBURY ST",42.32952036,-71.08530641,"(42.32952036, -71.08530641)","Roxbury"
"37807","I152066999",3201,"Property Lost","PROPERTY - LOST","A1",61,"","8/13/15 16:21",2015,8,"Thursday",16,"Part Three","CAUSEWAY ST",42.36474297,-71.06256983,"(42.36474297, -71.06256983)","Downtown"
"19126","I152087400",3007,"Medical Assistance","SUDDEN DEATH","B2",611,"","10/21/15 11:49",2015,10,"Wednesday",11,"Part Three","HUNTINGTON AVE",42.33326323,-71.1084841,"(42.33326323, -71.10848410)","Mission Hill"
"40645","I152063960",3802,"Motor Vehicle Accident Response","M/V ACCIDENT - PROPERTY  DAMAGE","B2",317,"","8/3/15 7:03",2015,8,"Monday",7,"Part Three","HUMBOLDT AVE",42.31262432,-71.08991596,"(42.31262432, -71.08991596)","Roxbury"
"15396","I152091482",2647,"Other","THREATS TO DO BODILY HARM","B2",289,"","11/4/15 1:45",2015,11,"Wednesday",1,"Part Two","MALCOLM X BLVD",42.33123776,-71.09140736,"(42.33123776, -71.09140736)","Roxbury"
"11204","I152096136",735,"Auto Theft Recovery","RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON)","C6",201,"","11/19/15 18:10",2015,11,"Thursday",18,"Other","",NA,NA,"(0.00000000, 0.00000000)","0"
"38297","I152066466",1831,"Drug Violation","DRUGS - SICK ASSIST - OTHER NARCOTIC","B2",901,"","8/11/15 17:51",2015,8,"Tuesday",17,"Part Two","PARKER ST",42.33375961,-71.09574009,"(42.33375961, -71.09574009)","Mission Hill"
"47770","I152055949",3301,"Verbal Disputes","VERBAL DISPUTE","B3",456,"","7/7/15 8:11",2015,7,"Tuesday",8,"Part Three","GREENWOOD ST",42.30175909,-71.0795516,"(42.30175909, -71.07955160)","Dorchester"
"43968","I152060231",1832,"Drug Violation","DRUGS - SICK ASSIST - OTHER HARMFUL DRUG","A1",106,"","7/21/15 12:45",2015,7,"Tuesday",12,"Part Two","SUMMER ST",42.35426247,-71.05883334,"(42.35426247, -71.05883334)","Downtown"
"23631","I152082495",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","B3",447,"","10/4/15 14:42",2015,10,"Sunday",14,"Part Two","NORWELL ST",42.29512751,-71.07820832,"(42.29512751, -71.07820832)","Dorchester"
"12976","I152094181",1841,"Drug Violation","DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP","B3",430,"","11/13/15 7:01",2015,11,"Friday",7,"Part Two","FRONTENAC ST",42.28453957,-71.08973718,"(42.28453957, -71.08973718)","#N/A"
"31805","I152073649",2647,"Other","THREATS TO DO BODILY HARM","C11",352,"","9/4/15 17:31",2015,9,"Friday",17,"Part Two","ARCADIA PARK",42.30108354,-71.06302178,"(42.30108354, -71.06302178)","Dorchester"
"21512","I152084795",617,"Larceny","LARCENY THEFT FROM BUILDING","B2",329,"","10/11/15 20:30",2015,10,"Sunday",20,"Part One","DALE ST",42.32272473,-71.08877863,"(42.32272473, -71.08877863)","Roxbury"
"44818","I152059285",413,"Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","C6",206,"","7/18/15 1:53",2015,7,"Saturday",1,"Part One","NORTHERN AVE",42.35320826,-71.0464714,"(42.35320826, -71.04647140)","#N/A"
"30735","I152074820",3130,"Search Warrants","SEARCH WARRANT","B3",465,"","9/9/15 9:48",2015,9,"Wednesday",9,"Part Three","BLUE HILL AVE",42.28482577,-71.09137369,"(42.28482577, -71.09137369)","#N/A"
"32674","I152072706",3109,"Police Service Incidents","SERVICE TO OTHER PD INSIDE OF MA.","C6",181,"","9/1/15 18:45",2015,9,"Tuesday",18,"Part Three","MASSACHUSETTS AVE",42.32691232,-71.06696209,"(42.32691232, -71.06696209)","Dorchester"
"45081","I152059009",3001,"Medical Assistance","DEATH INVESTIGATION","D14",801,"","7/17/15 7:41",2015,7,"Friday",7,"Part Three","FARRINGTON AVE",42.35445939,-71.13091268,"(42.35445939, -71.13091268)","Allston"
"7354","I152100423",1842,"Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","C6",175,"","12/5/15 9:45",2015,12,"Saturday",9,"Part Two","SOUTHAMPTON ST",42.33210843,-71.07014395,"(42.33210843, -71.07014395)","Roxbury"
"27649","I152078151",520,"Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","C11",393,"","9/19/15 17:15",2015,9,"Saturday",17,"Part One","ASHMONT ST",42.28796645,-71.05620715,"(42.28796645, -71.05620715)","Dorchester"
"14664","I152092290",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","D14",803,"","11/6/15 18:20",2015,11,"Friday",18,"Part Two","PENNIMAN RD",42.35551241,-71.13653726,"(42.35551241, -71.13653726)","Allston"
"9901","I152097562",3301,"Verbal Disputes","VERBAL DISPUTE","E13",579,"","11/24/15 18:46",2015,11,"Tuesday",18,"Part Three","CENTRE ST",42.32291389,-71.1026897,"(42.32291389, -71.10268970)","Jamaica Plain"
"51048","I152052284",2906,"Violations","VAL - OPERATING UNREG/UNINS  CAR","A1",119,"","6/24/15 15:31",2015,6,"Wednesday",15,"Part Two","BEACON ST",42.35699358,-71.06580186,"(42.35699358, -71.06580186)","Beacon Hill"
"40528","I152064079",1810,"Drug Violation","DRUGS - SALE / MANUFACTURING","C6",172,"","8/3/15 14:00",2015,8,"Monday",14,"Part Two","MASSACHUSETTS AVE",42.33152148,-71.07085307,"(42.33152148, -71.07085307)","Roxbury"
"43544","I152060689",3831,"Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11",370,"","7/21/15 19:45",2015,7,"Tuesday",19,"Part Three","WILLIAM T MORRISSEY BLVD",42.29623685,-71.04853645,"(42.29623685, -71.04853645)","Dorchester"
"32940","I152072419",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",134,"","8/31/15 7:30",2015,8,"Monday",7,"Part One","BOYLSTON ST",42.35157076,-71.07186599,"(42.35157076, -71.07186599)","Back Bay"
"50512","I152052896",3125,"Warrant Arrests","WARRANT ARREST","B2",260,"","6/26/15 14:19",2015,6,"Friday",14,"Part Three","WOODWARD PARK ST",42.31862926,-71.07271365,"(42.31862926, -71.07271365)","Dorchester"
"22170","I152084088",802,"Simple Assault","ASSAULT SIMPLE - BATTERY","B3",432,"","10/9/15 17:42",2015,10,"Friday",17,"Part Two","MASCOT ST",42.28633596,-71.08500149,"(42.28633596, -71.08500149)","Dorchester"
"22094","I152084174",2610,"Other","TRESPASSING","B2",319,"","10/10/15 0:56",2015,10,"Saturday",0,"Part Two","SCHUYLER ST",42.30911422,-71.08667126,"(42.30911422, -71.08667126)","Roxbury"
"49622","I152053851",1810,"Drug Violation","DRUGS - SALE / MANUFACTURING","D4",148,"","6/29/15 18:30",2015,6,"Monday",18,"Part Two","W NEWTON ST",42.34385799,-71.07953502,"(42.34385799, -71.07953502)","Back Bay"
"27294","I152078540",3410,"Towed","TOWED MOTOR VEHICLE","D14",775,"","9/21/15 10:05",2015,9,"Monday",10,"Part Three","CHISWICK RD",42.34071273,-71.15320715,"(42.34071273, -71.15320715)","Brighton"
"40116","I152064525",3115,"Investigate Person","INVESTIGATE PERSON","C11",364,"","8/4/15 23:02",2015,8,"Tuesday",23,"Part Three","CENTRE ST",42.29506405,-71.05672533,"(42.29506405, -71.05672533)","Dorchester"
"53425","I142014620-00",1602,"Prostitution","PROSTITUTION - SOLICITING","A1",112,"","8/18/15 1:10",2015,8,"Tuesday",1,"Part Two","WASHINGTON ST",42.35456406,-71.06147418,"(42.35456406, -71.06147418)","Downtown"
"9349","I152098185",2905,"Violations","VAL - OPERATING WITHOUT LICENSE","D4",598,"","11/27/15 12:32",2015,11,"Friday",12,"Part Two","BOYLSTON ST",42.34728134,-71.08774152,"(42.34728134, -71.08774152)","Back Bay"
"3059","I152105166",520,"Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","D4",155,"","12/19/15 17:00",2015,12,"Saturday",17,"Part One","MASSACHUSETTS AVE",42.33998273,-71.080974,"(42.33998273, -71.08097400)","Roxbury"
"19416","I152087099",617,"Larceny","LARCENY THEFT FROM BUILDING","B3",444,"","10/20/15 12:53",2015,10,"Tuesday",12,"Part One","BICKNELL ST",42.29746606,-71.0827431,"(42.29746606, -71.08274310)","Dorchester"
"13217","I152093916",3114,"Investigate Property","INVESTIGATE PROPERTY","A1",86,"","11/12/15 9:56",2015,11,"Thursday",9,"Part Three","N MARGIN ST",42.36428886,-71.05666291,"(42.36428886, -71.05666291)","Downtown"
"14686","I152092268",1843,"Drug Violation","DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP","A7",907,"","11/6/15 17:36",2015,11,"Friday",17,"Part Two","LIVERPOOL ST",42.37051212,-71.0422466,"(42.37051212, -71.04224660)","East Boston"
"6078","I152101841",2610,"Other","TRESPASSING","C6",214,"","12/9/15 21:40",2015,12,"Wednesday",21,"Part Two","W FOURTH ST",42.33553188,-71.04769502,"(42.33553188, -71.04769502)","South Boston"
"51432","I152051847",614,"Larceny From Motor Vehicle","LARCENY THEFT FROM MV - NON-ACCESSORY","D4",621,"","6/22/15 23:30",2015,6,"Monday",23,"Part One","COMMONWEALTH AVE",42.3492468,-71.08956259,"(42.34924680, -71.08956259)","Back Bay"
"5525","I152102453",3115,"Investigate Person","INVESTIGATE PERSON","C11",364,"","12/11/15 21:37",2015,12,"Friday",21,"Part Three","CENTRE ST",42.29451627,-71.05875403,"(42.29451627, -71.05875403)","Dorchester"
"9321","I152098221",1106,"Confidence Games","FRAUD - CREDIT CARD / ATM FRAUD","D4",167,"","11/13/15 0:00",2015,11,"Friday",0,"Part Two","HARRISON AVE",42.33954199,-71.06940877,"(42.33954199, -71.06940877)","Roxbury"
"10610","I152096781",3207,"Property Found","PROPERTY - FOUND","A7",35,"","11/21/15 20:53",2015,11,"Saturday",20,"Part Three","MARGINAL ST",42.36710205,-71.03997376,"(42.36710205, -71.03997376)","East Boston"
